exposure_level,num_collaborators,num_adopted,adoption_rate
1,335700,191,0.000568960381292821
2,127571,97,0.0007603608970690832
3,72064,65,0.0009019760213143872
4,46491,41,0.0008818911187111484
5,33995,58,0.001706133254890425
6,24389,31,0.0012710648243060396
7,18735,30,0.0016012810248198558
8,14366,21,0.0014617847695948768
9,11984,27,0.002253004005340454
10,9800,23,0.002346938775510204
11,8133,15,0.0018443378827001106
12,6828,17,0.002489748096074985
13,5988,15,0.00250501002004008
14,5098,15,0.0029423303256178894
15,4553,8,0.0017570832418185812
16,3960,9,0.0022727272727272726
17,3546,16,0.0045121263395375075
18,3003,9,0.002997002997002997
19,2879,10,0.0034734282737061478
20,2582,8,0.003098373353989156
21,2378,10,0.004205214465937763
22,2161,7,0.003239241092086997
23,1836,3,0.0016339869281045752
24,1758,4,0.0022753128555176336
25,1527,6,0.003929273084479371
26,1451,6,0.004135079255685734
27,1386,7,0.005050505050505051
28,1211,3,0.002477291494632535
29,1162,3,0.0025817555938037868
30,1102,3,0.0027223230490018148
31,984,1,0.0010162601626016261
32,874,3,0.003432494279176201
33,876,5,0.005707762557077625
34,870,7,0.008045977011494253
35,749,8,0.010680907877169559
36,721,2,0.0027739251040221915
37,682,1,0.001466275659824047
38,692,2,0.002890173410404624
39,630,3,0.004761904761904762
40,564,2,0.0035460992907801418
41,492,1,0.0020325203252032522
42,459,3,0.006535947712418301
43,483,3,0.006211180124223602
44,426,2,0.004694835680751174
45,412,2,0.0048543689320388345
46,383,4,0.010443864229765013
47,342,3,0.008771929824561403
48,331,3,0.00906344410876133
49,296,0,0.0
50,296,2,0.006756756756756757
51,270,1,0.003703703703703704
52,256,2,0.0078125
53,231,2,0.008658008658008658
54,231,3,0.012987012987012988
55,239,2,0.008368200836820083
56,194,1,0.005154639175257732
57,214,0,0.0
58,168,1,0.005952380952380952
59,194,2,0.010309278350515464
60,174,1,0.005747126436781609
61,185,3,0.016216216216216217
62,146,1,0.00684931506849315
63,171,3,0.017543859649122806
64,152,2,0.013157894736842105
65,155,2,0.012903225806451613
66,150,2,0.013333333333333334
67,125,0,0.0
68,134,1,0.007462686567164179
69,151,0,0.0
70,151,1,0.006622516556291391
71,133,0,0.0
72,127,0,0.0
73,123,0,0.0
74,118,1,0.00847457627118644
75,99,1,0.010101010101010102
76,99,0,0.0
77,100,2,0.02
78,79,1,0.012658227848101266
79,77,0,0.0
80,66,0,0.0
81,78,0,0.0
82,80,0,0.0
83,81,0,0.0
84,66,2,0.030303030303030304
85,62,1,0.016129032258064516
86,72,1,0.013888888888888888
87,56,0,0.0
88,51,0,0.0
89,35,1,0.02857142857142857
90,40,0,0.0
91,40,0,0.0
92,51,0,0.0
93,36,0,0.0
94,45,2,0.044444444444444446
95,34,0,0.0
96,31,0,0.0
97,45,0,0.0
98,38,0,0.0
99,35,0,0.0
100,45,1,0.022222222222222223
101,29,0,0.0
102,44,0,0.0
103,28,0,0.0
104,21,0,0.0
105,31,0,0.0
106,28,0,0.0
107,31,0,0.0
108,19,1,0.05263157894736842
109,31,0,0.0
110,17,0,0.0
111,40,0,0.0
112,20,0,0.0
113,18,0,0.0
114,29,0,0.0
115,21,0,0.0
116,14,0,0.0
117,21,0,0.0
118,12,0,0.0
119,25,0,0.0
120,15,0,0.0
121,17,0,0.0
122,15,0,0.0
123,15,1,0.06666666666666667
124,16,0,0.0
125,17,0,0.0
126,12,0,0.0
127,12,0,0.0
128,7,0,0.0
129,10,2,0.2
130,10,2,0.2
131,14,0,0.0
132,15,0,0.0
133,12,1,0.08333333333333333
134,9,0,0.0
135,16,0,0.0
136,15,1,0.06666666666666667
137,15,0,0.0
138,8,0,0.0
139,15,0,0.0
140,11,0,0.0
141,8,0,0.0
142,2,0,0.0
143,3,0,0.0
144,10,0,0.0
145,7,0,0.0
146,4,0,0.0
147,7,0,0.0
148,5,0,0.0
149,11,0,0.0
150,7,0,0.0
151,4,0,0.0
152,8,0,0.0
153,4,0,0.0
154,3,0,0.0
155,4,0,0.0
156,7,0,0.0
157,3,0,0.0
158,7,0,0.0
159,2,0,0.0
160,4,1,0.25
162,3,0,0.0
163,3,0,0.0
164,4,0,0.0
165,3,0,0.0
166,5,0,0.0
167,5,0,0.0
168,5,0,0.0
169,2,0,0.0
170,2,0,0.0
171,6,0,0.0
172,1,0,0.0
173,3,0,0.0
174,2,0,0.0
175,1,0,0.0
176,2,0,0.0
177,3,0,0.0
178,1,0,0.0
179,2,1,0.5
183,2,0,0.0
184,4,0,0.0
185,2,0,0.0
186,2,0,0.0
187,4,0,0.0
188,1,0,0.0
189,1,0,0.0
190,1,0,0.0
192,2,0,0.0
193,5,0,0.0
195,1,0,0.0
196,2,0,0.0
197,2,0,0.0
198,3,1,0.3333333333333333
199,1,0,0.0
202,1,0,0.0
203,1,0,0.0
205,1,0,0.0
207,3,0,0.0
208,2,0,0.0
209,2,0,0.0
212,1,0,0.0
213,3,0,0.0
214,3,0,0.0
218,1,0,0.0
219,1,0,0.0
220,1,0,0.0
222,2,0,0.0
223,2,0,0.0
225,2,0,0.0
226,1,0,0.0
228,2,0,0.0
229,1,0,0.0
230,2,1,0.5
231,3,0,0.0
232,1,0,0.0
233,1,0,0.0
234,1,0,0.0
236,1,0,0.0
237,2,0,0.0
239,1,0,0.0
241,2,0,0.0
243,2,0,0.0
247,2,0,0.0
250,1,0,0.0
255,3,0,0.0
256,1,0,0.0
257,1,0,0.0
258,2,0,0.0
266,1,0,0.0
270,2,0,0.0
275,1,0,0.0
278,1,0,0.0
281,1,0,0.0
282,1,0,0.0
288,2,0,0.0
289,1,0,0.0
290,1,0,0.0
292,2,0,0.0
293,15,0,0.0
294,2,0,0.0
295,26,0,0.0
296,3,0,0.0
297,7,0,0.0
298,5,0,0.0
299,28,0,0.0
300,11,0,0.0
301,11,0,0.0
302,21,0,0.0
303,13,0,0.0
304,12,0,0.0
305,4,1,0.25
306,7,0,0.0
307,4,0,0.0
308,3,0,0.0
309,5,0,0.0
310,23,0,0.0
311,36,0,0.0
312,15,0,0.0
313,8,0,0.0
314,15,0,0.0
315,7,1,0.14285714285714285
316,3,0,0.0
317,6,0,0.0
318,6,0,0.0
319,4,0,0.0
320,4,0,0.0
321,3,1,0.3333333333333333
322,4,0,0.0
323,2,0,0.0
324,3,0,0.0
325,2,0,0.0
326,6,0,0.0
327,1,0,0.0
328,1,0,0.0
329,2,0,0.0
330,3,0,0.0
331,1,0,0.0
332,4,0,0.0
333,2,0,0.0
334,1,0,0.0
337,2,0,0.0
339,1,0,0.0
340,2,0,0.0
342,2,0,0.0
344,1,0,0.0
347,1,0,0.0
350,1,1,1.0
351,1,0,0.0
352,1,0,0.0
353,1,0,0.0
358,1,0,0.0
364,1,0,0.0
366,1,0,0.0
367,2,0,0.0
370,2,0,0.0
371,1,0,0.0
373,2,0,0.0
375,1,0,0.0
378,1,0,0.0
383,2,0,0.0
386,1,0,0.0
397,1,0,0.0
404,1,0,0.0
414,1,0,0.0
432,1,0,0.0
433,1,0,0.0
465,1,0,0.0
485,1,1,1.0
503,1,0,0.0
504,1,0,0.0
528,1,0,0.0
539,1,0,0.0
703,1,0,0.0
717,1,0,0.0
823,1,0,0.0
1177,1,1,1.0
1383,1,0,0.0
2353,1,1,1.0
